Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,Weekend,Month_Aug,Month_Dec,Month_Feb,Month_Jul,Month_June,Month_Mar,Month_May,Month_Nov,Month_Oct,Month_Sep,VisitorType_New_Visitor,VisitorType_Other,VisitorType_Returning_Visitor,Admin_Duration_Per_Page,Info_Duration_Per_Page,ProductRelated_Duration_Per_Page,Total_Pages_Visited,Total_Duration,ProductRelated_Page_Share,Visited_Informational,Visited_Administrative,Has_PageValue,Engagement_Score
8,5.321056853517526,1,0.0,42,6.959778307049289,0.0,0.0045351556178799,3.646943773790383,0.0,2,2,5,2,0,False,False,False,False,False,False,False,True,False,False,False,False,True,25.45000000000001,0.0,25.05714285714286,51,7.136483208590247,0.8235294117647058,1,1,1,6.928357129291704
0,0.0,0,0.0,30,6.804934744727583,0.0,0.0073065748515314,3.559579654799176,0.0,2,2,7,2,0,False,True,False,False,False,False,False,False,False,False,True,False,False,0.0,0.0,30.042962963333345,30,6.804934744727583,1.0,0,0,1,6.7555746330064155
0,0.0,0,0.0,13,6.045400180852578,0.0,0.0278146879833758,0.0,0.8,1,1,1,2,0,False,False,False,False,False,False,True,False,False,False,False,False,True,0.0,0.0,32.397435900000005,13,6.045400180852578,1.0,0,0,0,5.8817997558625645
2,3.713572066704308,0,0.0,5,6.32704352775198,0.0,0.0281708773833629,0.0,0.0,2,2,7,2,1,False,False,False,False,False,True,False,False,False,False,True,False,False,20.000000000000004,0.0,111.69999999999997,7,6.396095974467569,0.7142857142857143,0,1,0,6.153688717437659
0,0.0,0,0.0,16,7.377925561215492,0.0,0.0132452264210732,0.0,0.0,4,2,2,13,0,False,False,False,False,False,False,True,False,False,False,False,False,True,0.0,0.0,99.9541666875,16,7.377925561215492,1.0,0,0,0,7.2814807006546465
5,4.390738575275903,0,0.0,27,6.958971070366407,0.0085837440332718,0.0167553931119892,2.31536384691648,0.0,2,5,1,13,0,False,False,False,False,False,False,False,False,True,False,False,False,True,15.940000000000001,0.0,38.946296296296275,32,7.031962082436323,0.84375,0,1,1,6.8442922629277065
11,7.403421117071253,0,0.0,16,7.523391266920374,0.0,0.0135442254665016,2.4665189304373074,0.0,1,1,2,3,0,False,False,False,False,False,True,False,False,False,False,False,False,True,149.14462809090912,0.0,115.61458331250002,27,8.158065024213084,0.5925925925925926,0,1,1,7.422854452609209
3,4.414009680526933,0,0.0,9,7.205783643488062,0.0,0.0165293022790794,0.0,0.0,2,2,2,3,0,False,False,False,False,False,False,False,True,False,False,True,False,False,27.200000000000006,0.0,149.57777777777775,12,7.264590210122234,0.75,0,1,0,7.088613803195392
8,4.842085141123199,0,0.0,7,4.414816457537195,0.0327898225004102,0.023879274115411,0.0,0.0,2,2,1,1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,15.716666662499994,0.0,11.666666667142854,15,5.339459309735258,0.4666666666666667,0,1,0,4.311852548584317
3,4.941642422609304,0,0.0,10,5.628134856162803,0.0,0.0076628730509126,0.0,0.0,3,2,1,2,1,False,False,False,False,False,True,False,False,False,False,False,False,True,46.333333333333314,0.0,27.714285709999995,13,6.033428746104274,0.7692307692307693,0,1,0,5.585335142022683
0,0.0,0,0.0,2,2.995732273553991,0.0,0.0953101798043248,0.0,0.0,1,1,3,3,0,False,False,False,False,False,False,True,False,False,False,False,False,True,0.0,0.0,9.499999999999998,2,2.995732273553991,1.0,0,0,0,2.7350538037445915
1,2.70805020110221,0,0.0,7,5.146039931102459,0.0,0.0246926125903715,0.0,0.0,1,1,1,2,0,False,False,False,False,False,False,False,True,False,False,True,False,False,14.0,0.0,24.392857142857157,8,5.224401683597869,0.875,0,1,0,5.022032820255753
1,0.0,0,0.0,7,3.6375861597263857,0.0800427073658441,0.1028573851389559,0.0,0.6,1,1,2,4,0,False,False,False,False,False,False,True,False,False,False,False,False,True,0.0,0.0,5.285714285714285,8,3.6375861597263857,0.875,0,1,0,3.2983286948457655
0,0.0,0,0.0,1,0.0,0.1823215567939546,0.1823215567939546,0.0,0.0,1,1,1,20,0,False,False,False,False,False,False,False,True,False,False,False,False,True,0.0,0.0,0.0,1,0.0,1.0,0,0,0,0.0
12,6.606932842733579,1,2.833213344056216,21,7.186945796262431,0.0089917111280254,0.0248227124197046,4.373813017206854,0.0,2,2,1,8,0,False,False,False,False,False,True,False,False,False,False,False,False,True,61.600766283333336,16.0,62.90758071428571,34,7.638809035749372,0.6176470588235294,1,1,1,7.012867405420166
